9.92E-07,4.63E-06,3.24E-07
9.98E-07,4.49E-06,3.23E-07
1.00E-06,4.35E-06,3.21E-07
1.01E-06,4.21E-06,3.19E-07
1.02E-06,4.07E-06,3.18E-07
1.03E-06,3.93E-06,3.16E-07
1.05E-06,3.79E-06,3.15E-07
1.06E-06,3.65E-06,3.14E-07
1.07E-06,3.51E-06,3.13E-07
1.08E-06,3.36E-06,3.12E-07
1.08E-06,3.22E-06,3.11E-07
1.09E-06,3.08E-06,3.10E-07
1.09E-06,2.94E-06,3.09E-07
1.09E-06,2.80E-06,3.08E-07
1.08E-06,2.66E-06,3.07E-07
1.07E-06,2.51E-06,3.07E-07
1.05E-06,2.37E-06,3.06E-07
1.03E-06,2.23E-06,3.05E-07
1.00E-06,2.09E-06,3.05E-07
9.71E-07,1.94E-06,3.04E-07
9.34E-07,1.80E-06,3.04E-07
8.93E-07,1.66E-06,3.04E-07
8.49E-07,1.52E-06,3.03E-07
8.01E-07,1.37E-06,3.02E-07
7.51E-07,1.23E-06,3.02E-07
6.99E-07,1.09E-06,3.01E-07
6.46E-07,9.50E-07,3.00E-07
5.92E-07,8.09E-07,2.99E-07
5.39E-07,6.68E-07,2.98E-07
4.87E-07,5.28E-07,2.96E-07
4.37E-07,3.88E-07,2.95E-07
3.89E-07,2.49E-07,2.93E-07
3.42E-07,1.11E-07,2.92E-07
2.99E-07,-2.75E-08,2.90E-07
2.58E-07,-1.65E-07,2.88E-07
2.19E-07,-3.02E-07,2.86E-07
1.83E-07,-4.39E-07,2.84E-07
1.48E-07,-5.75E-07,2.82E-07
1.16E-07,-7.11E-07,2.80E-07
8.44E-08,-8.47E-07,2.77E-07
5.38E-08,-9.82E-07,2.75E-07
2.35E-08,-1.12E-06,2.72E-07
-7.13E-09,-1.25E-06,2.70E-07
-3.86E-08,-1.39E-06,2.68E-07
-7.17E-08,-1.52E-06,2.65E-07
-1.07E-07,-1.65E-06,2.63E-07
-1.44E-07,-1.79E-06,2.61E-07
-1.85E-07,-1.92E-06,2.59E-07
-2.29E-07,-2.05E-06,2.56E-07
-2.77E-07,-2.18E-06,2.54E-07
-3.28E-07,-2.32E-06,2.51E-07
-3.83E-07,-2.45E-06,2.48E-07
-4.41E-07,-2.58E-06,2.44E-07
-5.02E-07,-2.71E-06,2.41E-07
-5.66E-07,-2.84E-06,2.37E-07
-6.32E-07,-2.97E-06,2.34E-07
-6.99E-07,-3.10E-06,2.31E-07
-7.66E-07,-3.23E-06,2.28E-07
-8.35E-07,-3.35E-06,2.24E-07
-9.01E-07,-3.48E-06,2.21E-07
-9.67E-07,-3.61E-06,2.17E-07
-1.03E-06,-3.73E-06,2.13E-07
-1.09E-06,-3.86E-06,2.09E-07
-1.14E-06,-3.98E-06,2.04E-07
-1.19E-06,-4.10E-06,2.00E-07
-1.22E-06,-4.22E-06,1.96E-07
-1.26E-06,-4.35E-06,1.92E-07
-1.29E-06,-4.47E-06,1.88E-07
-1.31E-06,-4.59E-06,1.84E-07
-1.33E-06,-4.71E-06,1.80E-07
-1.35E-06,-4.83E-06,1.76E-07
-1.36E-06,-4.94E-06,1.73E-07
-1.37E-06,-5.06E-06,1.69E-07
-1.37E-06,-5.18E-06,1.66E-07
-1.38E-06,-5.30E-06,1.62E-07
-1.37E-06,-5.42E-06,1.59E-07
-1.37E-06,-5.53E-06,1.56E-07
-1.36E-06,-5.65E-06,1.52E-07
-1.35E-06,-5.77E-06,1.49E-07
-1.33E-06,-5.88E-06,1.46E-07
-1.32E-06,-6.00E-06,1.42E-07
-1.30E-06,-6.11E-06,1.39E-07
-1.28E-06,-6.23E-06,1.36E-07
-1.26E-06,-6.34E-06,1.33E-07
-1.24E-06,-6.45E-06,1.30E-07
-1.22E-06,-6.57E-06,1.27E-07
-1.21E-06,-6.68E-06,1.23E-07
-1.19E-06,-6.79E-06,1.20E-07
-1.17E-06,-6.90E-06,1.17E-07
-1.15E-06,-7.01E-06,1.13E-07
-1.13E-06,-7.12E-06,1.10E-07
-1.11E-06,-7.21E-06,1.07E-07
-1.08E-06,-7.26E-06,1.05E-07
-1.07E-06,-7.07E-06,1.09E-07
-1.05E-06,-6.44E-06,1.23E-07
