WS_hy_output_236,-1.44E-07,9.23E-08,1.23E-07,-1.07E-07
WS_hy_output_237,-1.45E-07,9.25E-08,1.24E-07,-1.07E-07
WS_hy_output_238,-1.46E-07,9.26E-08,1.24E-07,-1.07E-07
WS_hy_output_239,-1.46E-07,9.28E-08,1.25E-07,-1.07E-07
WS_hy_output_240,-1.47E-07,9.29E-08,1.26E-07,-1.08E-07
WS_hy_output_241,-1.48E-07,9.30E-08,1.26E-07,-1.08E-07
WS_hy_output_242,-1.49E-07,9.32E-08,1.27E-07,-1.08E-07
WS_hy_output_243,-1.49E-07,9.33E-08,1.27E-07,-1.08E-07
WS_hy_output_244,-1.50E-07,9.34E-08,1.28E-07,-1.09E-07
WS_hy_output_245,-1.51E-07,9.36E-08,1.28E-07,-1.09E-07
WS_hy_output_246,-1.51E-07,9.37E-08,1.29E-07,-1.09E-07
WS_hy_output_247,-1.52E-07,9.38E-08,1.29E-07,-1.09E-07
WS_hy_output_248,-1.53E-07,9.40E-08,1.30E-07,-1.09E-07
WS_hy_output_249,-1.53E-07,9.41E-08,1.30E-07,-1.10E-07
WS_hy_output_250,-1.54E-07,9.42E-08,1.31E-07,-1.10E-07
WS_hy_output_251,-1.55E-07,9.43E-08,1.32E-07,-1.10E-07
WS_hy_output_252,-1.56E-07,9.44E-08,1.32E-07,-1.10E-07
WS_hy_output_253,-1.56E-07,9.46E-08,1.33E-07,-1.11E-07
WS_hy_output_254,-1.57E-07,9.47E-08,1.33E-07,-1.11E-07
WS_hy_output_255,-1.58E-07,9.48E-08,1.34E-07,-1.11E-07
WS_hy_output_256,-1.58E-07,9.49E-08,1.34E-07,-1.11E-07
WS_hy_output_257,-1.59E-07,9.50E-08,1.35E-07,-1.11E-07
WS_hy_output_258,-1.60E-07,9.51E-08,1.35E-07,-1.12E-07
WS_hy_output_259,-1.60E-07,9.52E-08,1.36E-07,-1.12E-07
WS_hy_output_260,-1.61E-07,9.53E-08,1.37E-07,-1.12E-07
WS_hy_output_261,-1.62E-07,9.54E-08,1.37E-07,-1.12E-07
WS_hy_output_262,-1.63E-07,9.55E-08,1.38E-07,-1.12E-07
WS_hy_output_263,-1.63E-07,9.56E-08,1.38E-07,-1.12E-07
WS_hy_output_264,-1.64E-07,9.57E-08,1.39E-07,-1.13E-07
WS_hy_output_265,-1.65E-07,9.58E-08,1.39E-07,-1.13E-07
WS_hy_output_266,-1.65E-07,9.59E-08,1.40E-07,-1.13E-07
WS_hy_output_267,-1.66E-07,9.59E-08,1.41E-07,-1.13E-07
WS_hy_output_268,-1.67E-07,9.60E-08,1.41E-07,-1.13E-07
WS_hy_output_269,-1.68E-07,9.61E-08,1.42E-07,-1.14E-07
WS_hy_output_270,-1.68E-07,9.62E-08,1.42E-07,-1.14E-07
WS_hy_output_271,-1.69E-07,9.63E-08,1.43E-07,-1.14E-07
WS_hy_output_272,-1.70E-07,9.63E-08,1.43E-07,-1.14E-07
WS_hy_output_273,-1.71E-07,9.64E-08,1.44E-07,-1.14E-07
WS_hy_output_274,-1.71E-07,9.65E-08,1.45E-07,-1.14E-07
WS_hy_output_275,-1.72E-07,9.65E-08,1.45E-07,-1.15E-07
WS_hy_output_276,-1.73E-07,9.66E-08,1.46E-07,-1.15E-07
WS_hy_output_277,-1.74E-07,9.67E-08,1.46E-07,-1.15E-07
