WS_output_45,0.022,4.578960896,-2004.729004,112643.0547,-4.623514175,1994.869263,112245.4453,-4.515906334,-2242.032715,127178.1094,4.557743549,2251.830322,127580.2344,-4.463807106,-2241.969727,127174.5313,4.502980709,2251.53833,127562.4531,4.420238972,-2004.691284,112645.9609,-4.460394382,1995.090942,112253.4688
WS_output_46,0.022500001,4.568007469,-2004.716797,112643.0859,-4.627791405,1994.88147,112245.4297,-4.493946552,-2242.029297,127178.1094,4.550578594,2251.83374,127580.2344,-4.452722549,-2241.983154,127174.5078,4.506988525,2251.525391,127562.4766,4.399184227,-2004.696899,112645.9609,-4.453894138,1995.085571,112253.4688
WS_output_47,0.023,4.556655407,-2004.703857,112643.1094,-4.631152153,1994.894287,112245.4063,-4.471197128,-2242.026855,127178.1016,4.542264462,2251.835938,127580.2344,-4.441325665,-2241.996582,127174.5,4.510423183,2251.512451,127562.5078,4.377342224,-2004.701294,112645.9688,-4.446112633,1995.081665,112253.4688
WS_output_48,0.023499999,4.545175076,-2004.690308,112643.1328,-4.633759499,1994.907471,112245.3828,-4.448009014,-2242.025391,127178.1016,4.533106327,2251.837158,127580.2266,-4.429962635,-2242.009766,127174.4922,4.513449192,2251.499512,127562.5313,4.354943275,-2004.70459,112645.9766,-4.437255859,1995.078735,112253.4766
WS_output_49,0.024,4.533676624,-2004.67749,112643.1406,-4.635553837,1994.920044,112245.3672,-4.424926281,-2242.023682,127178.1094,4.523555279,2251.838623,127580.2188,-4.418790817,-2242.021729,127174.4922,4.515968323,2251.487793,127562.5469,4.332453728,-2004.70752,112645.9766,-4.427697659,1995.07605,112253.4922
WS_output_50,0.024499999,4.522397995,-2004.665649,112643.1406,-4.636649132,1994.931641,112245.3594,-4.402362347,-2242.021484,127178.1094,4.51395607,2251.84082,127580.2031,-4.408099174,-2242.032227,127174.4922,4.518092632,2251.477295,127562.5547,4.310198307,-2004.710693,112645.9766,-4.417700768,1995.07312,112253.5156
WS_output_51,0.025,4.511370182,-2004.655884,112643.1328,-4.636909485,1994.941284,112245.3516,-4.380842209,-2242.019043,127178.1172,4.504667759,2251.843262,127580.1875,-4.397867203,-2242.040283,127174.5,4.519697666,2251.46875,127562.5547,4.288748264,-2004.713989,112645.9688,-4.407616615,1995.06958,112253.5313
WS_output_52,0.0255,4.500758648,-2004.64856,112643.125,-4.636375904,1994.948486,112245.3516,-4.360786915,-2242.015869,127178.125,4.49601984,2251.846436,127580.1719,-4.388278961,-2242.046143,127174.5,4.520822048,2251.462402,127562.5469,4.26847744,-2004.718018,112645.9531,-4.397723675,1995.065308,112253.5391
WS_output_53,0.026000001,4.490578651,-2004.643433,112643.1172,-4.635021687,1994.953735,112245.3594,-4.342443466,-2242.012939,127178.1406,4.488111019,2251.849609,127580.1641,-4.379232883,-2242.050293,127174.4922,4.521476269,2251.458008,127562.5391,4.249751091,-2004.721924,112645.9375,-4.388196468,1995.060913,112253.5469
WS_output_54,0.0265,4.480937004,-2004.640625,112643.1094,-4.632859707,1994.956787,112245.3672,-4.326168537,-2242.010254,127178.1484,4.48119545,2251.852539,127580.1641,-4.370814323,-2242.05249,127174.4844,4.521674633,2251.455322,127562.5234,4.232931614,-2004.726074,112645.9219,-4.379283905,1995.056274,112253.5391
WS_output_55,0.027000001,4.471857548,-2004.638794,112643.1094,-4.630022526,1994.95874,112245.3672,-4.311889648,-2242.008301,127178.1484,4.475152493,2251.854492,127580.1719,-4.362940311,-2242.054443,127174.4766,4.521530628,2251.453125,127562.5078,4.21805191,-2004.729492,112645.9063,-4.371007919,1995.05249,112253.5391
WS_output_56,0.0275,4.463410378,-2004.637939,112643.1172,-4.626551151,1994.959839,112245.375,-4.299821854,-2242.007813,127178.1484,4.470113754,2251.855225,127580.1797,-4.355635643,-2242.056152,127174.4688,4.521072388,2251.45166,127562.5078,4.205366611,-2004.732056,112645.8984,-4.363544464,1995.049805,112253.5234
WS_output_57,0.028000001,4.455624104,-2004.636841,112643.125,-4.622655869,1994.96106,112245.375,-4.289701462,-2242.008789,127178.1406,4.465877056,2251.854248,127580.1875,-4.348902225,-2242.05835,127174.4609,4.520374298,2251.449707,127562.5156,4.19464159,-2004.733521,112645.8984,-4.356851578,1995.048462,112253.5156
WS_output_58,0.0285,4.448551655,-2004.634888,112643.1406,-4.618422508,1994.962891,112245.3672,-4.281596184,-2242.01123,127178.1328,4.462462902,2251.851563,127580.1953,-4.34274435,-2242.061523,127174.4609,4.519477844,2251.447021,127562.5313,4.185989857,-2004.733398,112645.9063,-4.351033211,1995.048828,112253.5078
WS_output_59,0.028999999,4.442224979,-2004.631958,112643.1484,-4.614004612,1994.965698,112245.3594,-4.275285244,-2242.014893,127178.125,4.459727764,2251.847412,127580.1953,-4.337233543,-2242.065918,127174.4609,4.518339157,2251.443359,127562.5547,4.179167747,-2004.732178,112645.9219,-4.346066475,1995.050781,112253.5078
WS_output_60,0.0295,4.436684608,-2004.627686,112643.1641,-4.609531879,1994.969604,112245.3359,-4.270635128,-2242.019531,127178.1094,4.45757103,2251.842529,127580.1953,-4.332416534,-2242.071045,127174.4688,4.516940594,2251.438965,127562.5781,4.174040318,-2004.729614,112645.9375,-4.341960907,1995.054077,112253.5156
WS_output_61,0.029999999,4.431971073,-2004.622681,112643.1641,-4.605062008,1994.974243,112245.3203,-4.267529011,-2242.024658,127178.0938,4.455897808,2251.836914,127580.1953,-4.328379631,-2242.076416,127174.4766,4.515161991,2251.433838,127562.6016,4.170468807,-2004.726196,112645.9609,-4.338694572,1995.057983,112253.5234
WS_output_62,0.0305,4.428124905,-2004.61731,112643.1641,-4.600681305,1994.979248,112245.3047,-4.265796185,-2242.029541,127178.0859,4.45457983,2251.832031,127580.1875,-4.325209618,-2242.081543,127174.4844,4.512896538,2251.428711,127562.6172,4.168253422,-2004.722656,112645.9766,-4.336224556,1995.062134,112253.5391
